time,T
0.0,70.000000
1.0,69.050000
2.0,68.118050
3.0,67.203807
4.0,66.306935
5.0,65.427103
6.0,64.563988
7.0,63.717272
8.0,62.886644
9.0,62.071798
10.0,61.272434
